table,distribution,mix,threads,ops,read_ratio,time_sec,throughput_mops,speedup
Coarse,uniform,80/20,1,2000000,0.80,2.546744,0.785317,0.5319
Coarse,uniform,80/20,2,2000000,0.8000,3.973722,0.503306,0.3409
Coarse,uniform,80/20,4,2000000,0.8000,4.582295,0.436463,0.2956
Coarse,uniform,80/20,8,2000000,0.8000,4.695911,0.425902,0.2884
Coarse,uniform,80/20,16,2000000,0.8000,5.885482,0.339819,0.2301
Coarse-Padded,uniform,80/20,1,2000000,0.8000,2.788341,0.717272,0.4858
Coarse-Padded,uniform,80/20,2,2000000,0.8000,3.951791,0.506100,0.3428
Coarse-Padded,uniform,80/20,4,2000000,0.8000,4.685724,0.426828,0.2891
Coarse-Padded,uniform,80/20,8,2000000,0.8000,4.679908,0.427359,0.2894
Coarse-Padded,uniform,80/20,16,2000000,0.8000,5.691733,0.351387,0.2380
Fine,uniform,80/20,1,2000000,0.8000,2.907259,0.687933,0.4659
Fine,uniform,80/20,2,2000000,0.8000,2.176626,0.918853,0.6223
Fine,uniform,80/20,4,2000000,0.8000,1.062640,1.882105,1.2747
Fine,uniform,80/20,8,2000000,0.8000,0.639144,3.129185,2.1192
Fine,uniform,80/20,16,2000000,0.8000,0.332993,6.006128,4.0677
Fine-Padded,uniform,80/20,1,2000000,0.8000,3.569498,0.560303,0.3795
Fine-Padded,uniform,80/20,2,2000000,0.8000,2.071666,0.965407,0.6538
Fine-Padded,uniform,80/20,4,2000000,0.8000,1.028514,1.944554,1.3170
Fine-Padded,uniform,80/20,8,2000000,0.8000,0.627246,3.188543,2.1594
Fine-Padded,uniform,80/20,16,2000000,0.8000,0.370083,5.404192,3.6600
Segment,uniform,80/20,1,2000000,0.8000,49.058066,0.040768,0.0276
Segment,uniform,80/20,2,2000000,0.8000,36.587730,0.054663,0.0370
Segment,uniform,80/20,4,2000000,0.8000,21.034080,0.095084,0.0644
Segment,uniform,80/20,8,2000000,0.8000,12.965892,0.154251,0.1045
Segment,uniform,80/20,16,2000000,0.8000,8.492729,0.235496,0.1595
Segment-Padded,uniform,80/20,1,2000000,0.8000,58.739792,0.034048,0.0231
Segment-Padded,uniform,80/20,2,2000000,0.8000,37.678900,0.053080,0.0359
Segment-Padded,uniform,80/20,4,2000000,0.8000,21.714566,0.092104,0.0624
Segment-Padded,uniform,80/20,8,2000000,0.8000,13.194723,0.151576,0.1027
Segment-Padded,uniform,80/20,16,2000000,0.8000,8.953379,0.223379,0.1513
Coarse,skew,80/20,1,2000000,0.8000,2.411838,0.829243,0.5616
Coarse,skew,80/20,2,2000000,0.8000,3.172672,0.630383,0.4269
Coarse,skew,80/20,4,2000000,0.8000,3.788238,0.527950,0.3576
Coarse,skew,80/20,8,2000000,0.8000,6.566635,0.304570,0.2063
Coarse,skew,80/20,16,2000000,0.8000,7.807298,0.256171,0.1735
Coarse-Padded,skew,80/20,1,2000000,0.8000,2.088787,0.957493,0.6485
Coarse-Padded,skew,80/20,2,2000000,0.8000,2.993989,0.668005,0.4524
Coarse-Padded,skew,80/20,4,2000000,0.8000,3.687900,0.542314,0.3673
Coarse-Padded,skew,80/20,8,2000000,0.8000,4.511081,0.443353,0.3003
Coarse-Padded,skew,80/20,16,2000000,0.8000,6.075807,0.329174,0.2229
Fine,skew,80/20,1,2000000,0.8000,1.984747,1.007685,0.6825
Fine,skew,80/20,2,2000000,0.8000,1.570744,1.273282,0.8623
Fine,skew,80/20,4,2000000,0.8000,1.066771,1.874816,1.2697
Fine,skew,80/20,8,2000000,0.8000,0.781125,2.560409,1.7340
Fine,skew,80/20,16,2000000,0.8000,0.532706,3.754415,2.5427
Fine-Padded,skew,80/20,1,2000000,0.8000,2.319546,0.862238,0.5840
Fine-Padded,skew,80/20,2,2000000,0.8000,1.613359,1.239649,0.8396
Fine-Padded,skew,80/20,4,2000000,0.8000,1.037054,1.928540,1.3061
Fine-Padded,skew,80/20,8,2000000,0.8000,0.744934,2.684802,1.8183
Fine-Padded,skew,80/20,16,2000000,0.8000,0.511010,3.913817,2.6506
Segment,skew,80/20,1,2000000,0.8000,27.077139,0.073863,0.0500
Segment,skew,80/20,2,2000000,0.8000,21.862570,0.091481,0.0620
Segment,skew,80/20,4,2000000,0.8000,15.636405,0.127907,0.0866
Segment,skew,80/20,8,2000000,0.8000,12.509349,0.159880,0.1083
Segment,skew,80/20,16,2000000,0.8000,10.192646,0.196220,0.1329
Segment-Padded,skew,80/20,1,2000000,0.8000,27.100307,0.073800,0.0500
Segment-Padded,skew,80/20,2,2000000,0.8000,22.306439,0.089660,0.0607
Segment-Padded,skew,80/20,4,2000000,0.8000,15.975634,0.125191,0.0848
Segment-Padded,skew,80/20,8,2000000,0.8000,12.829707,0.155888,0.1056
Segment-Padded,skew,80/20,16,2000000,0.8000,10.051084,0.198984,0.1348